datum	pilotaaz	helyezes	hiba	csapat	tipus	motor
1953.08.23	701		motor	HW Motors	HWM	Alta 
1950.06.04	550	6			Maserati 	Maserati 
1959.05.10	565		kizárták	Team Lotus	Lotus 	Climax 
1960.07.03	547		motor	Owen Racing Organisation	BRM 	BRM 
1955.07.16	584	6		Scuderia Ferrari	Ferrari 	Ferrari 
1960.05.30	196	3		Epperly	Epperly	Offenhauser 
1956.09.02	765	9		Equipe Gordini	Gordini 	Gordini 
1952.09.07	42	1		Scuderia Ferrari	Ferrari 	Ferrari 
1960.09.04	295	9			Cooper 	Climax 
1954.09.05	1	1		Daimler Benz AG	Mercedes 	Mercedes 
1954.05.31	96	17		Pankratz	Pankratz	Offenhauser 
1957.05.19	765		kizárták	Scuderia Centro Sud	Maserati 	Maserati 
1952.05.30	42		kerék	Enzo Ferrari	Ferrari 	Ferrari 
1953.09.13	759	16		Ecurie Rosier	Ferrari 	Ferrari 
1960.05.29	83	1		Rob Walker Racing Team	Lotus 	Climax 
1953.08.02	721		nem rajtolt el	Officine Alfieri Maserati	Maserati 	Maserati 
1954.09.05	287	3		Scuderia Ferrari	Ferrari 	Ferrari 
1950.05.13	423	9		Scuderia Ambrosiana	Maserati 	Maserati 
1958.10.19	394		karambol	Vandervell Products Ltd	Vanwall	Vanwall 
1950.05.30	289	19		Charles Pritchard	Kurtis 	Offenhauser 
1960.07.03	369	9		Scuderia Centro Sud	Cooper 	Maserati 
1954.05.31	188		kicsúszás	Kurtis Kraft	Kurtis 	Offenhauser 
1956.09.02	185		kiesett	Officine Alfieri Maserati	Maserati 	Maserati 
1952.05.18	765		kiesett	Scuderia Ferrari	Ferrari 	Ferrari 
1950.06.18	337	10			Maserati 	Maserati 
1955.05.30	81		olajfolyás	Stevens	Stevens	Offenhauser 
1960.05.29	734		kizárták	Reventlow Automobiles Inc	Scarab	Scarab 
1951.07.14	322		olajfolyás		Maserati 	Maserati
1952.06.22	767	10		Equipe Gordini	Simca-Gordini 	Gordini
1953.07.18	448	5		Scuderia Ferrari	Ferrari 	Ferrari 
1950.07.02	595	4		Equipe Gordini	Simca-Gordini 	Simca-Gordini 
1954.07.17	599		motor	G A Vandervell	Vanwall 	Vanwall 
1950.05.13	46		kiesett		ERA 	ERA
1957.07.20	599	4		Scuderia Ferrari	Lancia 	Lancia 
1953.01.18	419		karambol	Scuderia Ferrari	Ferrari 	Ferrari 
1960.11.20	607	14		Yeoman Credit Racing Team	Cooper 	Climax 
1953.08.02	162	13		Connaught Engineering	Connaught 	Lea 
1958.10.19	518	3		Scuderia Ferrari	Ferrari 	Ferrari 
1958.07.19	452	9		Scuderia Centro Sud	Maserati 	Maserati 
1957.05.30	574	12		Kuzma	Kuzma	Offenhauser 
1954.07.17	370		karambol	Equipe Gordini	Gordini 	Gordini 
1959.05.10	185		törés	Owen Racing Organisation	BRM 	BRM 
1953.07.18	759	10		Ecurie Rosier	Ferrari 	Ferrari 
1956.05.13	599	2		Scuderia Ferrari	Lancia 	Lancia 
1953.01.18	71	5		Officine Alfieri Maserati	Maserati 	Maserati 
1951.10.28	42	4		Scuderia Ferrari	Ferrari 	Ferrari 
1952.08.17	483		motor	Ecurie Francorchamps	Ferrari 	Ferrari 
1956.05.13	1	4		Scuderia Ferrari	Lancia 	Lancia 
1958.06.15	226	6		Scuderia Ferrari	Ferrari 	Ferrari 
1955.01.16	443		futómû	Equipe Gordini	Gordini 	Gordini 
1951.09.16	118		olajpumpa	Ecurie Belge	Talbot-Lago 	Talbot 
1953.05.30	413	17		Eugene Casaroll	Kurtis 	Offenhauser 
1957.05.19	238		kiesett	Officine Alfieri Maserati	Maserati 	Maserati 
1957.08.04	287		motor	Dr Ing Porsche KG	Porsche 	Porsche 
1959.05.31	111	8		Rob Walker Racing Team	Cooper 	Climax 
1955.05.30	713	12		Kurtis Kraft	Kurtis 	Offenhauser 
1951.09.16	601		rossz licenc	British Racing Motors Ltd	BRM 	BRM 
1950.07.02	294		motor		Talbot-Lago 	Talbot 
1950.09.03	472		kiesett		Talbot-Lago 	Talbot 
1950.09.03	438	5			Talbot-Lago 	Talbot 
1958.05.26	185	10		Joakim Bonnier Racing Team	Maserati 	Maserati 
1952.08.17	301	7		HW Motors	HWM	Alta 
1951.07.14	742	8			ERA 	ERA
1958.05.30	645		karambol	Kurtis Kraft	Kurtis 	Offenhauser 
1960.07.16	619		túlhajtás	Gilby Engineering Co Ltd	Cooper 	Maserati 
1955.05.30	96		motor	Pankratz	Pankratz	Offenhauser 
1958.01.19	606	5		Ken Kavanagh	Maserati 	Maserati 
1956.07.14	287		sebességváltó	Scuderia Guastalla	Maserati 	Maserati 
1956.01.22	316	1		Scuderia Ferrari	Lancia 	Lancia 
1954.05.31	800		kiesett	Kurtis Kraft	Kurtis 	Offenhauser 
1952.09.07	721	2		Officine Alfieri Maserati	Maserati 	Maserati 
1955.01.16	238		kiesett	Officine Alfieri Maserati	Maserati 	Maserati 
1955.05.30	102		karambol	Kuzma	Kuzma	Offenhauser 
1959.07.18	369	7		Cooper Car Company	Cooper 	Climax 
1953.07.05	729		motor	Officine Alfieri Maserati	Maserati 	Maserati 
1958.05.30	164	11		Kurtis Kraft	Kurtis 	Offenhauser 
1950.06.18	583		motor	Automobiles Talbot-Darracq SA	Talbot-Lago 	Talbot 
1954.01.17	111	4		Ecurie Rosier	Ferrari 	Ferrari 
1956.05.13	228	6		Equipe Gordini	Gordini 	Gordini 
1959.07.05	527	10		Scuderia Centro Sud	Maserati 	Maserati 
1959.05.10	36		kizárták	Scuderia Ugolini	Maserati 	Maserati 
1951.09.16	419	3		Alfa Romeo SpA	Alfa 	Alfa 
1958.01.19	448	3		Scuderia Ferrari	Ferrari 	Ferrari 
1952.08.17	42	1		Scuderia Ferrari	Ferrari 	Ferrari 
1958.05.30	649		törés	Kurtis Kraft	Kurtis 	Offenhauser 
1952.05.18	83		visszalépés	HW Motors	HWM	Alta 
1955.01.16	111	3		Scuderia Ferrari	Ferrari 	Ferrari 
1951.07.29	583		karambol		Talbot-Lago 	Talbot 
1954.01.17	300		olajfolyás	Officine Alfieri Maserati	Maserati 	Maserati 
1956.05.13	546		motor	Scuderia Centro Sud	Maserati 	Maserati 
1960.05.30	276		törés	Epperly	Epperly	Offenhauser 
1954.08.01	448	2		Scuderia Ferrari	Ferrari 	Ferrari 
1955.05.30	191	6		Kurtis Kraft	Kurtis 	Offenhauser 
1951.07.01	720	8			Talbot-Lago 	Talbot 
1958.10.19	731	16		Team Lotus	Lotus 	Climax 
1956.05.30	167	10		Stevens	Stevens	Offenhauser 
1957.07.20	784		motor	Owen Racing Organisation	BRM 	BRM 
1960.05.29	731	7		Owen Racing Organisation	BRM 	BRM 
1954.06.20	606		kiállás	Equipe Gordini	Gordini 	Gordini 
1953.05.30	411		gyújtás	Murrell Belanger	Kurtis 	Offenhauser 
1953.05.30	139	5		Jack Hinkle	Kurtis 	Offenhauser 
1952.07.19	364	10			Ferrari 	Ferrari
1959.08.23	83	1		Rob Walker Racing Team	Cooper 	Climax 
1951.09.16	550		kompresszor	Alfa Romeo SpA	Alfa 	Alfa 
1958.08.03	381		benzinpumpa		Cooper 	Climax 
1959.08.23	452	8		David Brown Corporation	Aston 	Aston 
1956.07.01	111		gázadagoló	Automobiles Bugatti	Bugatti 	Bugatti 
1952.09.07	83		kiállás	Connaught Engineering	Connaught 	Lea 
1955.06.05	325	8		Officine Alfieri Maserati	Maserati 	Maserati 
1950.07.02	625		motor	Automobiles Talbot-Darracq SA	Talbot-Lago 	Talbot 
1951.07.29	546		motor	Ecurie Rosier	Talbot-Lago 	Talbot 
1957.09.08	140	9		Francesco Godia-Sales	Maserati 	Maserati 
1957.08.04	448	2		Scuderia Ferrari	Lancia 	Lancia 
1958.07.06	140		karambol		Maserati 	Maserati 
1951.05.30	762		motor	Brown Motor Co	Kurtis 	Offenhauser 
1951.09.16	1		motor	Alfa Romeo SpA	Alfa 	Alfa 
1957.09.08	238		olajfolyás	Officine Alfieri Maserati	Maserati 	Maserati 
1957.05.30	669		kuplung	Kuzma	Kuzma	Offenhauser 
1960.05.29	518	3		Scuderia Ferrari	Ferrari 	Ferrari 
1956.05.13	1	2		Scuderia Ferrari	Lancia 	Lancia 
1953.07.18	258		benzinbefecskendezõ		Cooper 	Bristol 
1959.05.30	501	15		Leader Cards Inc	Kurtis 	Offenhauser 
1955.05.22	756		karambol	Daimler Benz AG	Mercedes 	Mercedes 
1954.08.22	780		futómû	Equipe Gordini	Gordini 	Gordini 
1954.10.24	557		kiesett	Baron de Graffenried	Maserati 	Maserati 
1953.05.30	259	7		Ernest Ruiz	Kurtis 	Offenhauser 
1960.09.04	670	7		Dr Ing F Porsche KG	Porsche 	Porsche 
1958.05.26	316	7		Scuderia Ferrari	Ferrari 	Ferrari 
1960.07.16	597		motor	Scuderia Centro Sud	Cooper 	Maserati 
1953.05.30	800	15		Ray Crawford	Kurtis 	Offenhauser 
1954.05.31	81	8		Kurtis Kraft	Kurtis 	Offenhauser 
1956.08.05	584		kiesett	Scuderia Ferrari	Lancia 	Lancia 
1950.05.21	374	6			ERA 	ERA
1950.07.02	193		motor	Scuderia Ambrosiana	Maserati 	Maserati 
1955.09.11	655	2		Daimler Benz AG	Mercedes 	Mercedes 
1953.05.30	220		olajfolyás	Hart Fullerton	Kurtis 	Offenhauser 
1959.07.05	178	3		Cooper Car Company	Cooper 	Climax 
1951.09.16	759	7		Ecurie Rosier	Talbot-Lago 	Talbot 
1960.07.16	185		kiállás	Owen Racing Organisation	BRM 	BRM 
1953.08.02	759	10		Ecurie Rosier	Ferrari 	Ferrari 
1953.07.05	550	7			Maserati 	Maserati 
1957.05.30	323	6		Kurtis Kraft	Kurtis 	Offenhauser 
1957.05.19	432		karambol	Officine Alfieri Maserati	Maserati 	Maserati 
1951.07.01	118		karambol	Ecurie Belge	Talbot-Lago 	Talbot 
1954.07.04	300		motor		Maserati 	Maserati 
1950.06.18	1	1		Alfa Romeo SpA	Alfa 	Alfa 
1954.07.17	735		nem rajtolt el	Equipe Anglaise	Cooper 	Bristol 
1950.05.30	56	5		Ervin Wolfe	Deidt	Offenhauser 
1953.07.05	767		differenciálmû	Connaught Engineering	Connaught 	Lea 
1953.07.18	550		kuplung		Maserati 	Maserati 
1953.08.23	284		karambol	Ecurie Francorchamps	Ferrari 	Ferrari 
1951.05.30	640	1		Murell Belanger	Kurtis 	Offenhauser 
1953.07.05	374	11			Cooper 	Bristol 
1951.07.29	688		karambol	Scuderia Ambrosiana	Maserati 	Maserati 
1950.05.21	438		olajfolyás		Talbot-Lago 	Talbot 
1952.07.19	767	11		Equipe Gordini	Gordini 	Gordini 
1952.08.03	532		sebességváltó	HW Motors	HWM	Alta 
1950.05.13	374	6			ERA 	ERA
1960.11.20	731		sebességváltó	Owen Racing Organisation	BRM 	BRM 
1958.10.19	730	14			Cooper 	Climax 
1951.05.30	65		túlhajtás	Brown Motors	Schroeder	Offenhauser 
1960.07.16	734		nem rajtolt el	Cooper Car Company	Cooper 	Climax 
1954.07.17	448	2		Scuderia Ferrari	Ferrari 	Ferrari 
1955.07.16	595		futómû	Equipe Gordini	Gordini 	Gordini 
1954.08.01	370		kerék	Equipe Gordini	Gordini 	Gordini 
1952.06.22	419	2		Scuderia Ferrari	Ferrari 	Ferrari 
1951.07.14	118	13		Ecurie Belge	Talbot-Lago 	Talbot 
1959.12.12	178	4		Cooper Car Company	Cooper 	Climax 
1956.06.03	532	2		Scuderia Ferrari	Lancia 	Lancia 
1958.07.06	54		sebességváltó	Vandervell Products Ltd	Vanwall	Vanwall 
1953.07.05	583	14		HW Motors	HWM	Alta 
1955.05.30	10		gyújtás	Pawl	Pawl	Offenhauser 
1950.05.30	706	17		Pat Clancy	Ewing	Offenhauser 
1957.01.13	526	10			Maserati 	Maserati 
1951.07.01	364		motor	Graham Whitehead	Ferrari 	Ferrari 
1951.06.17	248	3		Scuderia Ferrari	Ferrari 	Ferrari 
1959.08.02	185	5		Owen Racing Organisation	BRM 	BRM 
1955.05.22	325	3		Officine Alfieri Maserati	Maserati 	Maserati 
1957.07.20	185		futómû	Joakim Bonnier Racing Team	Maserati 	Maserati 
1954.05.31	706	11		Kurtis Kraft	Kurtis 	Offenhauser 
1960.05.30	10		karambol	Kurtis Kraft	Kurtis 	Offenhauser 
1960.05.29	275		karambol	Scuderia Ferrari	Ferrari 	Ferrari 
1957.09.08	238	5		Officine Alfieri Maserati	Maserati 	Maserati 
1950.06.04	546	9		Officine Alfieri Maserati	Maserati 	Maserati 
1954.09.05	756	4		Daimler Benz AG	Mercedes 	Mercedes 
1951.07.01	595		motor	Equipe Gordini	Simca-Gordini 	Simca-Gordini 
1958.09.07	238		karambol	Owen Racing Organisation	BRM 	BRM 
1957.01.13	325	6		Scuderia Ferrari	Lancia 	Lancia 
1956.05.30	574		kicsúszás	Kuzma	Kuzma	Offenhauser 
1953.08.23	42	1		Scuderia Ferrari	Ferrari 	Ferrari 
1952.05.18	335	7		Ecurie Espadon	Ferrari 	Ferrari
1958.07.19	784		gyújtás	BC Ecclestone	Connaught 	Alta 
1956.05.13	36		kizárták	Scuderia Centro Sud	Ferrari 	Ferrari 
1951.07.14	42		sebességváltó	Scuderia Ferrari	Ferrari 	Ferrari 
1956.05.30	163	4		Kuzma	Kuzma	Offenhauser 
1960.05.30	594		motor	Christensen	Christensen	Offenhauser 
1955.09.11	355		olajteknõ	Officine Alfieri Maserati	Maserati 	Maserati 
1954.08.01	379	5		Officine Alfieri Maserati	Maserati 	Maserati 
1953.08.02	419	1		Scuderia Ferrari	Ferrari 	Ferrari 
1952.07.19	308	4		Connaught Engineering	Connaught 	Lea 
1952.07.19	595		kuplung	Equipe Gordini	Gordini 	Gordini 
1951.05.27	238	12		Enrico Plate	Maserati 	Maserati 
1960.11.20	185	5		Owen Racing Organisation	BRM 	BRM 
1958.07.06	238		túlhajtás	Owen Racing Organisation	BRM 	BRM 
1958.01.19	599		sebességváltó	Scuderia Ferrari	Ferrari 	Ferrari 
1960.06.19	222	2		Cooper Car Company	Cooper 	Climax 
1960.11.20	5	13		Joe Lubin	Maserati 	Maserati 
1959.05.10	369		sebességváltó	Cooper Car Company	Cooper 	Climax 
1952.09.07	701		kizárták	HW Motors	HWM	Alta 
1954.06.20	587	5		Equipe Gordini	Gordini 	Gordini 
1954.07.17	374	10			Cooper 	Bristol 
1960.11.20	150	9		Scuderia Centro Sud	Cooper 	Maserati 
1955.01.16	584		kiesett	Scuderia Lancia	Lancia 	Lancia 
1953.05.30	421	3		Ed Walsh	Kurtis 	Offenhauser 
1951.05.27	759	9		Ecurie Rosier	Talbot-Lago 	Talbot 
1956.05.13	355	8		Gould's Garage (Bristol)	Maserati 	Maserati 
1958.09.07	54	1		Vandervell Products Ltd	Vanwall	Vanwall 
1951.10.28	765		motor	Equipe Gordini	Simca-Gordini 	Simca-Gordini 
1953.05.30	693		kiállás	AE Dean	Kuzma	Offenhauser 
1960.08.14	83		pályaelhagyás	Rob Walker Racing Team	Lotus 	Climax 
1956.05.30	336		kicsúszás	Kurtis Kraft	Kurtis 	Offenhauser 
1950.09.03	595		futómû	Equipe Gordini	Simca-Gordini 	Simca-Gordini 
1960.07.03	553		futómû	Scuderia Castellotti	Cooper 	Castellotti 
1958.07.06	336	10		Scuderia Centro Sud	Maserati 	Maserati 
1953.08.02	295	16			Veritas 	Veritas 
1954.07.17	767		kiesett	Prince Bira	Maserati 	Maserati 
1960.02.07	582		feladta		Maserati 	Maserati 
1954.07.17	42		kiesett	Officine Alfieri Maserati	Maserati 	Maserati 
1954.05.31	413	12		Kuzma	Kuzma	Offenhauser 
1960.05.30	495		törés	Watson	Watson	Offenhauser 
1955.05.30	31		karambol	Kurtis Kraft	Kurtis 	Offenhauser 
1953.05.30	445		karambol	Peter Schmidt	Kurtis 	Offenhauser 
1958.05.18	448		benzinpumpa	Scuderia Ferrari	Ferrari 	Ferrari 
1955.05.22	584	2		Scuderia Lancia	Lancia 	Lancia 
1953.08.23	228		nem rajtolt el		Osca 	Osca
1956.07.14	83		sebességváltó	Officine Alfieri Maserati	Maserati 	Maserati 
1952.07.19	537	5		Connaught Engineering	Connaught 	Lea 
1952.06.22	532	5		HW Motors	HWM	Alta 
1953.06.21	1		motor	Officine Alfieri Maserati	Maserati 	Maserati 
1956.08.05	599		kiesett	Scuderia Ferrari	Lancia 	Lancia 
1955.05.22	759		benzinfolyás	Ecurie Rosier	Maserati 	Maserati 
1951.06.17	419	1		Alfa Romeo SpA	Alfa 	Alfa 
1950.06.18	42	5		Scuderia Ferrari	Ferrari 	Ferrari 
1960.09.04	549		karambol		Cooper 	Climax 
1950.05.13	523		kiesett		ERA 	ERA
1951.10.28	546		gyújtás	Ecurie Rosier	Talbot-Lago 	Talbot 
1952.08.03	298		kiesett	Escuderia Bandeirantes	Maserati 	Maserati
1958.06.15	394	3		Vandervell Products Ltd	Vanwall	Vanwall 
1960.11.20	547		túlhajtás	Owen Racing Organisation	BRM 	BRM 
1960.06.19	19		karambol	Team Lotus	Lotus 	Climax 
1958.09.07	178		karambol	Cooper Car Company	Cooper 	Climax 
1950.05.21	721		karambol	Scuderia Achille Varzi	Maserati 	Maserati 
1959.08.02	150		visszalépés	Dr Ing F Porsche KG	Porsche 	Porsche 
1957.05.30	639	3		Kuzma	Kuzma	Offenhauser 
1950.06.18	118	8		Ecurie Belge	Talbot-Lago 	Talbot 
1956.05.30	645	7		Kurtis Kraft	Kurtis 	Offenhauser 
1950.05.30	495		leállás	AJ Watson	Watson	Offenhauser 
1951.05.30	56		kicsúszás	Rotary Engineering	Deidt	Offenhauser 
1960.02.07	222	1		Cooper Car Company	Cooper 	Climax 
1959.07.18	19		rosszullét	Team Lotus	Lotus 	Climax 
1959.12.12	712		motor	Mike Taylor	Cooper 	Climax 
1959.05.31	369	3		Cooper Car Company	Cooper 	Climax 
1950.09.03	419	1		Alfa Romeo SpA	Alfa 	Alfa 
1960.06.19	791		futómû	Scuderia Ferrari	Ferrari 	Ferrari 
1959.05.30	257		karambol	Leader Cards Inc	Kurtis 	Offenhauser 
1951.05.30	413		motor	JC Agajanian	Kuzma	Offenhauser 
1956.09.02	655		kiállás	Vandervell Products Ltd	Vanwall	Vanwall 
1951.06.17	583	5			Talbot-Lago 	Talbot 
1954.06.20	721	4		Scuderia Ferrari	Ferrari 	Ferrari 
1954.10.24	83		olajpumpa	Officine Alfieri Maserati	Maserati 	Maserati 
1960.05.30	686		motor	Watson	Watson	Offenhauser 
1957.09.08	606		túlhajtás	Officine Alfieri Maserati	Maserati 	Maserati 
1960.02.07	185	7		Owen Racing Organisation	BRM 	BRM 
1952.07.19	382	13		Ecurie Espadon	Ferrari 	Ferrari 
1959.05.10	518	4		Scuderia Ferrari	Ferrari 	Ferrari 
1950.06.04	729	5		Scuderia Milano	Maserati 	Milano 
1956.07.01	1	4		Scuderia Ferrari	Lancia 	Lancia 
1957.08.04	369	8		Scuderia Centro Sud	Maserati 	Maserati 
1959.05.30	800	2		Watson	Watson	Offenhauser 
1950.05.30	705		nem azonosított	Louis Rassey	Snowberger	Offenhauser 
1953.01.18	24	8		Cooper Car Company	Cooper 	Bristol 
1960.09.04	381		sebességváltó	JB Naylor	JBW	Maserati 
1959.09.13	36	12		Cooper Car Company	Cooper 	Climax 
1957.08.04	178		futómû	Cooper Car Company	Cooper 	Climax 
1952.07.06	595	4		Equipe Gordini	Gordini 	Gordini 
1960.07.16	784		benzinpumpa	CT Atkins	Cooper 	Climax 
1957.05.30	658		karambol	Kurtis Kraft	Kurtis 	Offenhauser 
1958.06.15	157	10			Maserati 	Maserati 
1958.05.18	36		motor		Maserati 	Maserati 
1950.06.04	438		sebességváltó		Talbot-Lago 	Talbot 
1957.08.04	83	5		Vandervell Products Ltd	Vanwall	Vanwall 
1954.08.22	448		olajpumpa	Scuderia Ferrari	Ferrari 	Ferrari 
1954.07.17	587	9		Equipe Gordini	Gordini 	Gordini 
1959.05.10	700		törés	Owen Racing Organisation	BRM 	BRM 
1958.09.07	452	4		Scuderia Centro Sud	Maserati 	Maserati 
1951.07.14	781	6		Alfa Romeo SpA	Alfa 	Alfa 
1953.06.21	42	1		Scuderia Ferrari	Ferrari 	Ferrari 
1950.06.04	337	11		Scuderia Achille Varzi	Maserati 	Maserati 
1953.01.18	474		nem azonosított	Equipe Gordini	Simca-Gordini 	Gordini
1955.05.22	595		sebességváltó	Equipe Gordini	Gordini 	Gordini 
1958.07.06	54		kiesett	Vandervell Products Ltd	Vanwall	Vanwall 
1951.07.01	238		túlhajtás	Enrico Plate	Maserati 	Maserati
1957.08.04	756		motor	Scuderia Centro Sud	Maserati 	Maserati 
1950.05.13	169	7			ERA 	ERA
1953.07.18	546		nem rajtolt el		Osca 	Osca
1958.10.19	275	10		Team Lotus	Lotus 	Climax 
1954.07.04	448		motor	Scuderia Ferrari	Ferrari 	Ferrari 
1955.06.19	300	4		Officine Alfieri Maserati	Maserati 	Maserati 
1960.08.14	518		karambol	Scuderia Ferrari	Ferrari 	Ferrari 
1957.05.19	526		kizárták		Maserati 	Maserati 
1954.07.17	364		olajfolyás		Cooper 	Alta 
1952.09.07	475		motor	Officine Alfieri Maserati	Maserati 	Maserati 
1955.01.16	370		kiesett	Officine Alfieri Maserati	Maserati 	Maserati 
1954.07.04	42		motor	Officine Alfieri Maserati	Maserati 	Maserati 
1952.09.07	162		kiállás	Connaught Engineering	Connaught 	Lea 
1951.05.30	641		kuplung	Hall	Hall	Offenhauser 
1959.08.23	731		karambol	Team Lotus	Lotus 	Climax 
1959.05.10	116		kizárták	Equipe Nationale Belge	Cooper 	Climax 
1960.08.14	547		túlhajtás	Owen Racing Organisation	BRM 	BRM 
1956.06.03	798		olajnyomás		Connaught 	Alta 
1955.05.22	42		karambol	Scuderia Lancia	Lancia 	Lancia 
1955.09.11	248		gumi	Scuderia Ferrari	Ferrari 	Ferrari 
1952.08.03	715	8			Veritas 	BMW 
1950.05.30	430	13		Charles Pritchard	Kurtis 	Offenhauser 
1959.05.10	346		kizárták		Cooper 	Climax 
1959.07.18	607	11		Cooper Car Company	Cooper 	Climax 
1953.06.07	248		gázadagoló	Scuderia Ferrari	Ferrari 	Ferrari 
1952.06.22	759		futómû	Ecurie Rosier	Ferrari 	Ferrari 
1953.09.13	300	6		Equipe Gordini	Gordini 	Gordini 
1958.05.30	495		karambol	Watson	Watson	Offenhauser 
1954.07.04	767	4		Prince Bira	Maserati 	Maserati 
1952.05.30	707	5		Ray Brady	Kurtis 	Offenhauser 
1960.06.19	734		motor	Reventlow Automobiles Inc	Scarab	Scarab 
1954.07.17	595		hengerfej	Ecurie Rosier	Ferrari 	Ferrari 
1953.07.05	83		kuplung	Cooper Car Company	Cooper 	Alta 
1960.05.30	186	10		Kurtis Kraft	Kurtis 	Offenhauser 
1954.08.01	248		visszalépés	Officine Alfieri Maserati	Maserati 	Maserati 
1952.09.07	111		motor	Equipe Gordini	Gordini 	Gordini 
1952.05.30	96	7		John Zink	Kurtis 	Offenhauser 
1950.05.30	336	15		Bowes Racing	Lesovsky	Offenhauser 
1958.05.30	96	6		Watson	Watson	Offenhauser 
1952.08.03	44		nem rajtolt el		AFM	BMW 
1953.06.07	111	6		Equipe Gordini	Gordini 	Gordini 
1955.09.11	599		kiállás	Officine Alfieri Maserati	Maserati 	Maserati 
1959.05.31	499		túlhajtás	David Brown Corporation	Aston 	Aston 
1958.05.30	182	2		Epperly	Epperly	Offenhauser 
1951.09.16	382		karambol	Ecurie Espadon	Ferrari 	Ferrari
1959.07.18	111	5		Rob Walker Racing Team	Cooper 	Climax 
1952.07.19	298	18		Escuderia Bandeirantes	Maserati 	Maserati
1952.07.19	499	8		G Caprara	Ferrari 	Ferrari 
1957.07.07	178	7		Cooper Car Company	Cooper 	Climax 
1958.05.26	36		sebességváltó		Maserati 	Maserati 
1953.08.23	729		kiesett	Officine Alfieri Maserati	Maserati 	Maserati 
1953.05.30	623	13		Peter Schmidt	Kuzma	Offenhauser 
1952.08.03	324	9			AFM	BMW 
1960.05.30	204		gyújtás	Ewing	Ewing	Offenhauser 
1953.07.05	448	1		Scuderia Ferrari	Ferrari 	Ferrari 
1959.08.23	518		karambol	Scuderia Ferrari	Ferrari 	Ferrari 
1955.09.11	526		motor	Scuderia Volpini	Arzani-Volpini	Maserati 
1960.07.03	150		futómû	Scuderia Ferrari	Ferrari 	Ferrari 
1953.07.18	606		benzinpumpa	Equipe Gordini	Gordini 	Gordini 
1952.05.18	767		motor	Equipe Gordini	Simca-Gordini 	Gordini
1958.06.15	606		olajnyomás	Owen Racing Organisation	BRM 	BRM 
1959.05.10	121		kizárták	British Racing Partnership	Cooper 	Climax 
1960.11.20	178	4		Cooper Car Company	Cooper 	Climax 
1957.08.18	606		olajfolyás	Officine Alfieri Maserati	Maserati 	Maserati 
1956.05.30	33	11		Kuzma	Kuzma	Offenhauser 
1954.05.31	411	15		Kurtis Kraft	Kurtis 	Offenhauser 
1959.07.05	226	4		Scuderia Ferrari	Ferrari 	Ferrari 
1958.01.19	238	6		Joakim Bonnier Racing Team	Maserati 	Maserati 
1952.07.06	238		kiesett	Enrico Plate	Maserati 	Plate 
1954.07.04	238		benzinpumpa		Maserati 	Maserati 
1953.08.02	576		kiesett		Veritas 	Veritas 
1950.06.04	29	2		Alfa Romeo SpA	Alfa 	Alfa 
1953.09.13	83	13		Cooper Car Company	Cooper 	Alta 
1955.06.05	300	5		Officine Alfieri Maserati	Maserati 	Maserati 
1958.05.30	183		gyújtás	Kurtis Kraft	Kurtis 	Offenhauser 
1953.08.02	670		kipufogócsõ	EMW Rennkollektiv	EMW	BMW 
1954.08.22	300	4		Officine Alfieri Maserati	Maserati 	Maserati 
1950.09.03	294		kiesett		Talbot-Lago 	Talbot 
1956.06.03	355		sebességváltó	Gould's Garage (Bristol)	Maserati 	Maserati 
1952.09.07	419	4		Scuderia Ferrari	Ferrari 	Ferrari 
1953.08.02	238		motor	Equipe Gordini	Gordini 	Gordini 
1954.06.20	448	4		Scuderia Ferrari	Ferrari 	Ferrari 
1958.05.18	54		motor	Vandervell Products Ltd	Vanwall	Vanwall 
1957.08.04	695	11			Maserati 	Maserati 
1952.05.30	139	11		Jack Hinkle	Kurtis 	Offenhauser 
1960.05.29	111		sebességváltó	Scuderia Centro Sud	Cooper 	Maserati 
1953.08.02	118		kiesett	Ecurie Belge	Connaught 	Lea 
1952.05.30	411	4		Murrell Belanger	Lesovsky	Offenhauser 
1950.09.03	781		motor	Alfa Romeo SpA	Alfa 	Alfa 
1951.07.29	765		motor	Equipe Gordini	Simca-Gordini 	Simca-Gordini 
1954.08.22	287	7		Scuderia Ferrari	Ferrari 	Ferrari 
1955.05.22	606		kiesett	Officine Alfieri Maserati	Maserati 	Maserati 
1951.07.29	759	8		Ecurie Rosier	Talbot-Lago 	Talbot 
1956.07.14	140	8		Officine Alfieri Maserati	Maserati 	Maserati 
1950.06.04	419	1		Alfa Romeo SpA	Alfa 	Alfa 
1955.06.05	606		karambol	Officine Alfieri Maserati	Maserati 	Maserati 
1957.07.20	111	4		Scuderia Ferrari	Lancia 	Lancia 
1953.09.13	354	14		Alex Falkenhausen Motorenen	AFM	Bristol 
1956.05.30	105		karambol	Kurtis Kraft	Kurtis 	Offenhauser 
1959.08.02	518	3		Scuderia Ferrari	Ferrari 	Ferrari 
1958.05.18	546		kizárták	Andre Testut	Maserati 	Maserati 
1958.01.19	140	8		Francesco Godia-Sales	Maserati 	Maserati 
1956.07.01	587	11		Equipe Gordini	Gordini 	Gordini 
1953.06.07	721	3		Officine Alfieri Maserati	Maserati 	Maserati 
1957.05.30	389		kicsúszás	Kurtis Kraft	Kurtis 	Offenhauser 
