ev	szakaz	ossz	elso	felvett	pont	forma	munkarend	tamogatott
2009	112	2	0	0		M	N	1
2011	53	15	2	2	70	M	N	0
2012	115	151	4	12	334	A	N	0
2010	153	16	6	5	80	M	E	1
2012	196	713	47	50	430	A	N	0
2012	83	1226	708	55	467	O	N	1
2012	61	27	9	4	438	A	N	1
2012	38	1	0	0		M	N	0
2008	168	134	34	20	403	A	N	1
2011	51	340	157	69	378	A	L	1
2011	132	84	17	9	50	M	L	0
2011	11	4	2	2	61	M	N	0
2009	196	1464	722	133	453	A	N	1
2012	94	241	12	52	300	A	N	0
2009	202	8	1	0		M	N	1
2012	212	4	2	1	61	M	N	1
2009	73	4	0	0		M	N	0
2012	58	11	5	1	435	A	N	1
2011	144	91	35	11	428	A	N	1
2010	179	4	0	0	58	M	N	0
2011	81	4	1	0		M	N	0
2012	141	65	29	18	59	M	N	1
2011	12	3	3	3	90	M	N	1
2011	113	57	0	1	344	A	N	0
2010	124	2	0	0	73	M	N	1
2009	47	21	20	20	75	M	N	1
2009	57	204	13	18	382	A	N	0
2009	132	658	302	125	405	A	N	1
2010	58	13	1	3	393	A	N	0
2011	37	20	7	3	69	M	L	0
2011	158	126	5	28	242	A	N	0
2009	172	63	35	28	23	M	L	1
2011	7	4	1	0	44	M	L	0
2011	120	17	0	1	368	A	N	0
2011	41	36	4	2	78	M	N	0
2010	68	80	36	23	68	M	N	1
2011	71	1	1	1	72	M	N	0
2009	59	11	1	1	75	M	N	0
2010	33	100	4	22	204	A	N	0
2010	184	11	5	3	67	M	N	1
2012	1	6	1	0		M	N	0
2010	131	5	3	3	79	M	N	1
2008	153	24	5	4	89	M	N	0
2012	71	3	0	0		M	N	0
2009	176	1	0	0		M	N	0
2008	109	100	65	21	75	M	L	0
2011	170	28	6	4	22	M	N	0
2010	138	2	1	0	67	M	N	1
2012	118	17	5	1	401	A	N	1
2011	117	2	0	0	51	M	N	0
2009	109	83	40	26	80	M	N	1
2011	172	5	0	0	31	M	N	0
2010	57	218	10	16	387	A	N	0
2010	211	113	37	29	58	M	N	1
2008	153	384	38	56	240	A	N	0
2010	10	38	2	5	352	A	N	0
2008	180	22	2	6	347	A	N	1
2008	207	1	0	0		M	N	1
2010	45	420	328	31	390	A	L	1
2012	194	2	1	1	54	M	N	0
2012	22	3	2	3	75	M	N	1
2009	71	7	6	4	78	M	N	1
2010	91	78	12	11	342	A	N	0
2009	118	6	1	1	408	A	N	0
2012	190	8	1	0		M	N	0
2011	179	5	2	1	64	M	N	1
2012	129	488	108	45	394	A	N	1
2012	51	434	115	17	429	A	N	1
2010	118	5	1	1	338	A	N	0
2007	129	88	18	20	82	A	E	0
2007	98	65	14	19	120	A	N	1
2012	81	7	1	1	87	M	N	0
2009	50	42	8	6	34	M	N	0
2011	156	175	68	29	420	A	N	1
2009	169	7	3	3	83	M	N	1
2009	141	37	21	17	64	M	N	1
2012	131	3	2	1	64	M	L	0
2012	72	23	9	8	80	M	N	1
2007	106	35	12	1	144	A	N	1
2011	183	166	16	59	310	A	N	0
2012	10	22	2	8	328	A	N	0
2010	76	15	0	1	396	A	N	0
2007	164	350	100	136	113	A	N	1
2009	13	8	0	4	356	A	N	0
2010	32	24	19	10	78	M	N	1
2010	57	12	12	8	75	M	N	1
2012	167	92	38	28	92	M	N	1
2011	1	5	2	0		M	N	0
2009	129	46	9	0		A	E	0
2010	67	29	8	6	70	M	N	1
2012	90	4	0	0		A	N	1
2010	159	265	78	46	433	A	N	1
2012	132	182	133	106	25	M	L	1
2011	4	49	22	16	75	M	N	1
2010	165	7	2	1	62	M	N	0
2008	214	186	12	50	286	A	N	0
2010	16	1	0	0		A	N	0
2010	26	3	1	0	24	M	N	0
2011	7	21	11	8	44	M	L	1
2011	137	236	119	106	200	A	L	0
2011	130	857	215	136	437	A	N	1
2010	7	16	7	6	45	M	L	1
2007	151	15	4	2	127	A	N	1
2011	135	1	1	1	89	M	N	0
2010	103	61	7	14	320	A	N	0
2011	12	4	2	0		M	N	0
2010	51	258	35	101	250	A	L	0
2009	83	1902	991	399	426	O	N	1
2009	160	3	2	2	48	M	N	0
2009	33	97	2	1	259	A	N	0
2010	45	49	1	19	206	A	N	0
2007	33	412	138	112	102	A	N	1
2009	200	360	98	144	265	A	N	1
2010	160	1	0	0	67	M	N	0
2010	30	1	0	0	24	M	N	1
2007	33	99	4	0		A	N	0
2010	164	115	32	26	90	M	L	1
2012	188	14	7	3	48	M	N	1
2011	103	81	10	8	360	A	N	0
2010	1	15	11	8	82	M	N	1
2009	153	1546	616	513	320	A	N	1
2010	198	17	1	0		M	L	0
2010	180	9	2	0		A	N	0
2011	96	53	21	10	67	M	N	1
2010	147	38	4	12	313	A	N	0
2009	154	18	14	12	71	M	N	1
2011	57	216	22	27	382	A	N	0
2009	152	2	1	1	65	M	N	1
2012	201	109	44	16	377	A	L	1
2010	130	274	67	36	90	M	N	1
2010	132	243	198	99	45	M	L	1
2011	164	35	4	0		A	L	0
2007	78	179	7	59	90	A	N	0
2009	164	131	56	0		A	E	1
2009	165	11	6	3	78	M	N	0
2010	83	1694	943	343	426	O	N	1
2010	213	7	2	1	48	M	L	0
2008	13	7	1	2	367	A	N	0
2009	122	19	8	7	50	M	N	1
2011	198	7	0	4	52	M	N	0
2011	155	306	122	70	397	A	N	1
2010	168	129	47	21	392	A	N	1
2010	75	6	4	2	55	M	N	1
2010	97	78	24	8	401	A	N	1
2012	73	10	0	0		M	N	0
2010	133	147	67	55	43	M	N	1
2011	165	26	11	7	82	M	N	1
2009	160	6	2	3	58	M	N	1
2011	103	291	64	39	393	A	N	1
2012	207	23	6	4	61	M	N	1
2009	106	11	1	1	424	A	N	0
2011	210	9	6	5	50	M	N	1
2008	103	224	45	52	358	A	N	1
2010	186	4	0	1	56	M	L	0
2012	114	6	0	0	58	M	L	0
2008	153	1175	479	444	290	A	N	1
2010	185	878	289	191	414	A	N	1
2009	29	3	3	3	90	M	N	1
2009	181	1	0	0		M	N	1
2012	7	101	60	43	44	M	N	1
2012	153	160	116	68	80	M	N	1
2009	204	10	1	0		M	N	1
2009	115	565	213	148	350	A	N	1
2012	57	152	74	57	65	M	N	1
2012	196	186	8	7	77	M	N	0
2011	198	242	70	62	368	A	N	1
2010	33	259	142	23	389	A	E	1
2008	80	38	1	1	370	A	N	0
2008	134	458	187	166	301	A	N	1
2007	84	86	17	18	122	A	N	1
2011	67	43	17	8	78	M	N	1
2012	132	439	232	49	401	A	L	1
2010	13	14	0	4	328	A	N	0
2008	142	9	6	4	326	A	N	1
2010	60	10	0	0		M	N	0
2008	5	66	8	23	332	A	N	0
2008	153	64	64	58	168	A	E	0
2009	168	114	37	15	396	A	N	1
2007	132	375	67	70	109	A	L	0
2011	143	1	0	0	61	M	N	1
2012	213	6	6	2	79	M	L	1
2012	153	1390	583	541	302	A	N	1
2010	141	13	2	1	63	M	N	0
2010	61	40	11	3	426	A	N	1
2008	106	29	10	2	447	A	N	1
2008	144	42	12	14	383	A	N	1
2009	191	21	10	9	68	M	N	1
2012	43	3	2	1	46	M	N	1
2008	55	124	72	31	80	M	E	1
2011	5	62	4	19	306	A	N	0
2012	131	9	3	1	64	M	L	1
2012	187	161	56	56	39	M	N	1
2011	82	147	97	76	48	M	N	1
2011	167	88	34	12	92	M	N	1
2012	209	3	3	3	82	M	N	1
2011	193	7	1	1	72	M	N	0
2009	189	17	3	6	238	A	N	1
2010	194	1	1	1	54	M	N	0
2012	96	26	8	5	66	M	L	1
2009	39	116	13	14	356	A	N	0
2012	148	65	2	16	315	A	N	0
2009	139	8	7	7	73	M	N	1
2009	126	32	19	8	55	M	N	1
2009	164	34	6	0		A	E	0
2009	174	13	10	8	70	M	N	1
2011	109	16	1	0		M	N	0
2012	191	14	0	0		M	N	0
2011	68	3	1	0	57	M	N	0
2008	198	56	0	1	320	A	N	0
2009	154	7	0	0		M	N	0
2011	160	20	10	5	37	M	N	1
2010	207	12	3	0		M	N	1
2008	23	320	91	101	261	A	N	1
2007	155	58	2	7	104	A	N	0
2010	33	196	47	86	203	A	E	0
2009	167	2	2	2	97	M	N	0
2009	60	37	21	17	90	M	N	1
2011	210	61	17	8	70	M	L	0
2012	151	6	0	3	299	A	N	0
2007	148	94	54	45	122	A	N	1
2009	204	16	4	0		M	L	1
2010	149	17	1	1	94	M	N	0
2012	43	36	19	14	46	M	L	0
2012	139	6	0	0		M	N	0
2010	40	53	3	0		M	N	0
2008	63	4	0	0		A	N	0
2011	84	112	33	20	423	A	N	1
2011	97	21	3	7	308	A	N	0
2008	147	25	3	8	306	A	N	0
2010	59	2	0	0	48	M	L	0
2012	208	76	26	9	66	M	N	1
2010	188	1	1	1	87	M	N	0
2008	198	231	44	70	321	A	N	1
2011	127	77	34	18	351	A	N	1
2011	50	116	67	18	74	M	N	1
2011	164	45	1	10	280	A	N	0
2008	142	4	1	1	292	A	N	0
2009	153	7	2	1	88	M	E	1
2011	14	3	1	1	32	M	L	0
2012	108	1	0	0		A	N	0
2010	199	2	0	0		M	N	0
2011	114	1	0	0	1	M	N	1
2012	196	302	138	119	68	M	N	1
2011	43	43	15	12	29	M	L	0
2009	73	29	13	12	60	M	N	1
2011	61	36	14	4	428	A	N	1
2008	51	256	92	120	229	A	L	0
2009	177	1	1	0		M	N	0
2011	151	7	0	0		A	N	0
2012	119	6	5	4	60	M	N	1
2009	103	284	48	47	366	A	N	1
2010	80	79	38	38	382	A	N	1
2010	132	89	6	44	221	A	N	0
2009	58	17	5	0		A	N	1
2010	112	4	2	2	75	M	N	1
2011	70	1	1	1	86	M	N	0
2010	153	25	1	1	87	M	N	0
2010	142	5	0	1	365	A	N	0
2008	133	268	15	14	364	A	N	0
2012	132	333	32	88	319	A	N	0
2011	33	191	16	35	262	A	N	0
2010	72	9	0	0		M	N	0
2012	198	227	63	4	425	A	N	1
2012	127	20	0	2	304	A	N	0
2012	133	116	51	45	62	M	N	1
2012	86	33	11	8	64	M	L	0
2008	131	18	8	4	64	M	L	0
2008	104	13	3	0		A	N	0
2010	187	40	5	5	26	M	N	0
2008	61	43	19	7	430	A	N	1
2008	155	89	1	4	250	A	N	0
2007	142	19	1	6	127	A	N	1
2009	62	7	0	0		M	N	1
2008	5	151	51	12	418	A	N	1
2009	51	36	1	3	40	M	L	0
2009	131	55	35	34	68	M	L	1
2011	191	11	0	0	63	M	N	0
2010	116	26	7	5	45	M	L	0
2010	145	21	17	9	81	M	N	1
2012	13	10	1	3	310	A	N	0
2008	103	57	3	3	358	A	N	0
2007	61	23	1	5	126	A	N	0
2011	64	6	1	3	326	A	N	0
2009	107	9	0	0		M	N	1
2009	167	16	0	0		M	N	0
2011	86	66	45	29	62	M	L	1
2012	55	37	4	1	90	M	E	0
2011	132	545	323	131	381	A	L	1
2012	39	326	16	24	356	A	N	0
2010	83	1027	499	439	277	O	L	0
2008	57	740	237	180	381	A	N	1
2011	201	136	3	7	368	A	N	0
2010	59	8	0	0	65	M	N	0
2007	104	15	4	6	120	A	N	0
2009	83	1024	502	520	216	O	L	0
2009	132	531	184	270	224	A	L	0
2012	96	4	0	0		M	N	0
2010	168	4	0	0		M	N	0
2010	214	407	104	76	412	A	N	1
2012	198	2	0	0		M	N	0
2011	53	104	58	27	75	M	N	1
2007	168	37	1	3	122	A	N	0
2010	88	11	0	1	386	A	N	0
2009	62	14	5	0		M	L	1
2011	83	603	53	92	393	O	N	0
2008	19	19	16	0		M	N	1
2009	57	92	49	38	41	M	N	1
2012	132	34	3	3	47	M	L	0
2011	54	11	7	4	82	M	N	1
2007	108	2	2	2	86	A	N	1
2011	213	2	2	0	10	M	L	0
2010	40	511	141	29	452	A	N	1
2008	57	265	12	10	378	A	N	0
2010	198	52	18	13	38	M	L	1
2011	131	2	1	1	71	M	N	0
2012	51	60	29	32	41	M	N	1
2011	212	5	2	0		M	N	1
2010	131	10	4	2	56	M	L	1
2009	148	20	0	3	312	A	N	0
2009	159	24	24	15	347	A	N	0
2009	55	75	44	33	53	M	E	1
2012	170	143	93	48	31	M	N	1
2008	40	664	180	27	451	A	N	1
2011	65	2	2	2	94	M	N	0
2007	90	17	1	5	120	A	N	1
2009	200	28	3	4	266	A	N	0
2011	145	14	9	7	78	M	N	1
2009	197	1	1	1	91	M	N	0
2012	164	13	1	0		M	L	0
2008	127	29	11	11	300	A	N	1
2011	167	1	1	1	96	M	N	0
2010	150	2	0	0		M	N	1
2011	83	881	390	449	203	O	L	0
2008	63	29	6	9	383	A	N	1
2010	117	1	0	0	45	M	N	0
2008	88	21	0	0		A	N	0
2012	173	22	18	12	64	M	N	1
2009	198	1	1	0		M	L	0
2012	110	12	0	1	49	M	L	0
2011	132	794	366	148	397	A	N	1
2009	198	54	30	22	69	M	L	1
2007	137	248	128	118	78	A	L	0
2009	147	26	2	7	302	A	N	0
2009	108	1	1	0		A	N	1
2010	38	1	1	1	70	M	N	1
2010	164	1	0	0		M	N	0
2009	129	316	74	70	353	A	N	1
2010	31	3	1	1	59	M	N	1
2011	130	2	2	2	92	M	N	0
2010	51	37	4	4	75	M	L	0
2007	16	6	0	2	110	A	N	0
2009	188	4	0	0		M	N	0
2012	40	403	18	16	420	A	N	0
2009	146	2	1	1	65	M	N	0
2011	87	1	1	0	83	M	N	0
2012	145	9	4	5	80	M	N	1
2007	134	642	233	138	123	A	N	1
2010	128	1	0	0	79	M	N	1
2010	27	6	6	6	85	M	N	0
2011	174	10	4	0		M	L	1
2012	149	67	15	12	92	M	N	1
2009	60	19	8	0		M	L	0
2011	102	9	2	2	61	M	L	1
2012	165	6	1	1	84	M	N	0
2007	132	126	7	6	122	A	N	0
2007	33	110	22	43	80	A	E	0
2012	59	14	4	1	58	M	L	1
2011	131	15	9	7	71	M	L	1
2012	202	1	0	0		M	L	0
2010	201	33	3	0		A	L	0
2012	120	14	0	1	411	A	N	0
2011	178	5	2	2	80	M	N	1
2011	200	58	2	3	373	A	N	0
2011	85	4	3	2	80	M	N	1
2009	107	20	6	0		M	L	1
2010	147	62	18	5	431	A	N	1
2007	183	195	11	17	120	A	N	0
2010	99	23	1	3	379	A	N	0
2011	130	325	21	13	428	A	N	0
2009	180	11	0	0		A	N	0
2010	174	6	1	0		M	L	1
2011	149	2	2	2	96	M	N	0
2010	169	1	0	0	54	M	N	0
2012	4	30	13	8	75	M	N	1
2012	27	8	1	0		M	N	0
2007	129	543	218	22	118	A	N	1
2009	173	5	1	1	69	M	N	0
2008	108	1	1	0		A	N	1
2012	144	60	6	8	398	A	N	0
2007	164	62	4	15	92	A	N	0
2012	24	8	4	1	80	M	N	1
2009	164	422	136	149	320	A	N	1
2011	201	62	10	0		A	L	0
2010	126	15	0	2	70	M	N	0
2012	32	8	0	0		M	N	0
2010	198	331	93	53	381	A	N	1
2007	97	58	24	15	110	A	N	1
2010	85	6	6	3	64	M	N	1
2010	111	92	92	83	200	A	L	0
2011	13	18	7	2	428	A	N	1
2011	65	15	2	2	94	M	N	0
2010	123	1583	679	519	329	A	N	1
2009	190	8	0	0		M	N	0
2007	18	112	42	22	140	A	N	1
2011	170	101	62	38	22	M	N	1
2009	17	52	29	23	64	M	N	1
2010	14	3	1	0	50	M	L	1
2007	113	97	2	6	110	A	N	0
2011	34	3	0	0		A	N	0
2009	4	30	17	15	70	M	N	1
2010	4	2	1	0		M	N	1
2011	40	368	107	32	442	A	N	1
2010	109	93	31	0		M	L	1
2010	146	3	0	0	70	M	N	0
2011	73	59	20	10	75	M	N	1
2011	114	7	3	2	74	M	L	0
2011	146	16	12	4	79	M	N	1
2012	154	9	0	0		M	N	0
2009	41	15	2	2	86	M	N	0
2011	161	20	8	2	428	A	N	1
2009	207	11	5	4	79	M	N	1
2011	137	31	31	26	203	A	L	0
2009	202	3	0	0		M	N	0
2009	13	18	6	2	434	A	N	1
2007	74	68	4	17	120	A	N	0
2009	146	10	4	5	69	M	N	1
2009	70	9	7	8	75	M	N	1
2011	60	7	5	0		M	L	0
2011	205	21	5	4	73	M	N	1
2012	169	3	0	0	54	M	N	0
2010	51	78	42	31	47	M	N	1
2010	84	125	45	19	423	A	N	1
2009	55	33	3	3	75	M	E	0
2009	187	44	3	2	26	M	N	0
2012	7	17	2	1	44	M	N	0
2007	23	63	5	5	108	A	N	0
2011	124	1	0	0	1	M	N	1
2009	91	50	8	7	288	A	N	0
2011	31	32	16	7	70	M	L	1
2010	164	166	60	0		A	L	1
2011	122	18	7	7	73	M	N	1
2011	200	602	163	147	353	A	N	1
2010	174	6	1	0		M	N	0
2012	51	286	107	29	414	A	L	1
2011	190	65	43	32	54	M	N	1
2009	11	1	0	0		M	N	0
2009	122	4	0	0		M	N	0
2007	63	7	1	0		A	N	0
2010	44	36	3	14	308	A	N	0
2008	90	16	4	5	310	A	N	1
2009	196	485	37	65	429	A	N	0
2007	103	34	8	0		A	E	0
2011	115	611	218	133	372	A	N	1
2007	5	187	62	15	138	A	N	1
2009	153	5	0	0		M	E	0
2009	159	47	3	10	308	A	N	0
2009	51	106	55	44	50	M	L	1
2009	7	27	2	0		M	L	0
2009	211	15	0	0		M	N	0
2011	19	61	8	15	36	M	N	0
2010	51	107	41	26	47	M	L	1
2012	82	137	79	54	44	M	N	1
2010	203	3	1	0		M	N	0
2007	196	1339	704	147	139	A	N	1
2008	10	64	16	5	434	A	N	1
2009	205	11	7	7	72	M	N	1
2012	60	56	26	14	92	M	N	1
2009	206	27	14	12	55	M	N	1
2007	78	431	112	95	129	A	N	1
2012	132	361	98	198	248	A	L	0
2009	203	1	1	1	59	M	N	1
2010	136	2	0	0		M	N	0
2010	196	81	11	8	81	M	N	0
2010	8	7	2	1	54	M	N	1
2011	174	13	8	6	76	M	N	1
2011	28	1	1	1	84	M	N	0
2010	115	70	2	3	361	A	N	0
2009	84	239	68	16	437	A	N	1
2012	119	7	3	3	60	M	N	0
2009	151	16	4	3	401	A	N	1
2012	37	4	2	1	69	M	N	1
2010	141	72	44	34	63	M	N	1
2011	164	17	12	11	90	M	N	1
2012	153	9	1	2	86	M	N	0
2011	59	2	0	0	84	M	L	0
2008	76	65	18	12	398	A	N	1
2010	17	39	1	0	41	M	N	0
2009	109	1	1	0		M	N	0
2009	132	523	300	132	359	A	L	1
2012	19	255	170	48	69	M	N	1
2010	93	311	137	37	432	A	N	1
2010	116	29	19	13	45	M	L	1
2007	125	2	0	0		A	N	0
2007	13	15	3	2	137	A	N	1
2012	175	171	59	51	53	M	N	1
2012	13	8	1	0		A	N	1
2009	196	93	9	7	75	M	N	0
2008	64	3	1	1	394	A	N	1
2010	47	8	0	0		M	N	0
2009	174	5	0	0		M	L	0
2009	130	2	2	1	81	M	N	0
2012	142	14	6	2	409	A	N	1
2011	190	2	0	0		M	N	0
2012	136	23	11	7	74	M	N	1
2012	164	359	104	20	411	A	N	1
2009	117	3	0	0		M	N	1
2011	148	90	32	21	393	A	N	1
2010	144	101	36	11	428	A	N	1
2010	190	12	3	1	74	M	N	0
2012	200	148	7	10	358	A	N	0
2011	190	20	8	6	60	M	N	1
2009	153	171	86	96	191	A	E	0
2011	38	2	0	2	27	M	N	0
2009	118	36	14	9	405	A	N	1
2009	108	2	1	0		A	N	0
2009	166	6	5	4	73	M	N	1
2011	164	2	1	1	93	M	N	0
2012	120	51	8	3	419	A	N	1
2009	139	1	0	0		M	N	0
2011	35	6	0	1	40	M	N	0
2009	23	43	3	7	198	A	N	0
2007	16	10	3	3	127	A	N	1
2010	13	17	7	1	431	A	N	1
2007	158	75	28	12	108	A	E	1
2009	164	15	5	0		M	N	1
2012	140	21	0	1	97	M	N	0
2010	122	12	4	0		M	N	1
2011	57	810	270	164	401	A	N	1
2011	133	22	2	1	76	M	N	0
2010	75	2	0	0		M	N	0
2011	45	176	30	86	216	A	L	0
2008	97	51	19	8	401	A	N	1
2011	126	9	0	0		M	N	0
2010	29	10	7	4	80	M	N	1
2010	119	10	4	3	68	M	N	0
2012	51	200	11	20	377	A	N	0
2012	144	90	28	9	438	A	N	1
2008	153	212	96	104	168	A	E	0
2010	94	395	69	107	392	A	N	1
2007	97	18	1	1	121	A	N	0
2012	183	316	22	83	300	A	N	0
2012	109	45	5	4	90	M	N	0
2012	17	37	2	1	49	M	N	0
2012	115	523	175	146	353	A	N	1
2011	209	1	1	0		M	N	1
2012	16	10	0	4	326	A	N	0
2007	153	213	104	116	80	A	E	0
2010	57	39	3	0		M	N	0
2012	114	7	0	0	58	M	L	1
2011	29	7	3	1	90	M	N	1
2007	127	19	8	6	103	A	N	1
2010	62	1	0	0	41	M	N	1
2010	152	1	0	0		M	N	0
2010	158	96	2	18	201	A	N	0
2010	132	499	164	285	227	A	L	0
2010	92	4	3	1	87	M	N	1
2009	199	2	0	0		M	N	0
2012	37	15	8	2	70	M	L	1
2009	188	12	10	9	67	M	N	1
2009	83	582	37	52	400	O	N	0
2011	92	2	1	0		M	N	1
2007	99	47	19	4	137	A	N	1
2009	127	39	16	15	252	A	N	1
2011	213	4	3	2	27	M	L	1
2010	77	1	1	0	50	M	N	0
2010	186	14	5	4	56	M	L	1
2010	60	5	0	0		M	L	0
2011	109	113	38	18	93	M	N	1
2011	175	218	88	26	74	M	N	1
2012	87	2	1	0	60	M	N	0
2010	129	96	1	7	354	A	N	0
2010	109	147	56	39	90	M	N	1
2012	143	4	0	0	40	M	L	1
2010	132	781	348	136	401	A	N	1
2011	126	66	28	15	80	M	N	1
2009	62	1	0	0		M	N	0
2012	206	31	2	2	64	M	N	0
2009	93	134	9	0		A	N	0
2012	101	1	0	0	50	M	N	1
2011	182	70	33	15	91	M	N	1
2012	14	9	4	4	68	M	N	1
2011	75	8	6	3	77	M	N	1
2011	153	70	39	11	80	M	E	1
2011	148	21	1	5	332	A	N	0
2010	152	3	2	0		M	N	1
2012	121	3	2	1	87	M	N	1
2007	76	29	13	15	123	A	N	1
2011	76	42	14	11	393	A	N	1
2012	192	31	0	0	90	M	N	0
2009	49	45	40	31	40	M	N	1
2010	175	181	76	50	72	M	N	1
2010	109	522	129	99	409	A	N	1
2012	17	39	21	11	49	M	L	1
2011	186	17	6	3	76	M	L	1
2008	25	73	38	20	408	A	N	1
2011	33	224	115	25	380	A	E	1
2009	208	15	0	0		M	N	0
2011	132	72	43	28	45	M	N	1
2011	162	56	42	29	58	M	N	1
2011	33	210	53	77	208	A	E	0
2009	7	44	15	8	68	M	L	1
2009	42	4	0	0		M	N	0
2008	60	3	3	3	86	M	L	0
2010	199	17	1	0		M	N	1
2012	20	2	0	0	42	M	L	0
2011	52	18	13	7	85	M	N	1
2009	166	2	0	0		M	N	0
2012	53	86	49	37	62	M	N	1
2010	181	1	0	0	50	M	N	1
2008	148	97	37	43	287	A	N	1
2010	47	41	34	23	71	M	N	1
2010	137	265	137	135	200	A	L	0
2010	67	7	2	1	89	M	N	0
2011	165	6	0	0		M	N	0
